"player_id","player_name","team","opponent","is_home","recent_avg","season_avg","projected_rec_yards","weather_impact_score","is_dome","headshot","team_color","team_color2","team_logo","jersey","position","experience"
"00-0038393","D.Wicks","GB","ARI",FALSE,28,28,28,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/er7pbyq82nsbw1w3wyor","#203731","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","13","WR",3
"00-0035644","N.Fant","CIN","PIT",TRUE,27,26.75,27.44,0,FALSE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w1gqasldrg3jumzdqjvy","#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","86","TE",7
"00-0040078","B.Smith","KC","LV",TRUE,26.6666666666667,26.6666666666667,27.2,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u3t4csj7hhcgymvb8ldf","#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","24","RB",0
"00-0037256","R.White","TB","DET",FALSE,26.6666666666667,26.6666666666667,26.67,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sxugbms8ketvgmilnlu3","#A71930","#322F2B","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","1","RB",4
"00-0040584","G.Helm","TEN","NE",TRUE,25.3333333333333,25.3333333333333,25.84,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lcyqbbnrzgtbnirz8knj","#002244","#4B92DB","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","84","TE",0
"00-0040730","R.Harvey","DEN","NYG",TRUE,26.3333333333333,23.25,25.6,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/i1qxzydetb2orrynzvzk","#002244","#FB4F14","https://a.espncdn.com/i/teamlogos/nfl/500/den.png","37","RB",0
"00-0039139","J.Gibbs","DET","TB",TRUE,24.3333333333333,24.3333333333333,24.82,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hjxk3judytgsxkqiilre","#0076B6","#B0B7BC","https://a.espncdn.com/i/teamlogos/nfl/500/det.png","0","RB",3
"00-0039847","T.Johnson","NYG","DEN",FALSE,25.6666666666667,23.2,24.68,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/naoiheinxogchairenzf","#0B2265","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","84","TE",2
"00-0033906","A.Kamara","NO","CHI",FALSE,25,24,24.6,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uay6uo9lonegelngihki","#D3BC8D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/no.png","41","RB",9
"00-0033943","J.Reynolds","NYJ","CAR",TRUE,24,24,24.48,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lf1fjsagcsvxmktl0bbn","#003F2D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","83","WR",9
"00-0031236","B.Cooks","NO","CHI",FALSE,24,24,24,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/krz3gv9jjs92arlctvqf","#D3BC8D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/no.png","10","WR",12
"00-0037291","J.Nailor","MIN","PHI",TRUE,22,25,23.66,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sdsx2pttiiwbfpyuuwiz","#4F2683","#FFC62F","https://a.espncdn.com/i/teamlogos/nfl/500/min.png","1","WR",4
"00-0038559","Mi.Wilson","ARI","GB",TRUE,25,20,23.46,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yc8awtck004bz2a5oeb8","#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","14","WR",3
"00-0038597","C.Brown","CIN","PIT",TRUE,23,19,21.83,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv3sq3uzosixxexbznq5","#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","30","RB",3
"00-0036555","C.Hubbard","CAR","NYJ",FALSE,20.6666666666667,23.5,21.8,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjgml85ghq7oa48dctn7","#0085CA","#000000","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","30","RB",5
"00-0036894","P.Freiermuth","PIT","CIN",FALSE,21.6666666666667,21.6666666666667,21.67,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vmwioi77upc9hqwaskfa","#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","88","TE",5
"00-0039751","J.Whittington","LA","JAX",FALSE,21,21,21,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w5h5q9jwyaimdjlnracx","#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","88","WR",2
"00-0036919","K.Gainwell","PIT","CIN",FALSE,21.6666666666667,17.25,19.9,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f74x1ywy7oo5kq81vblh","#000000","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/pit.png","14","RB",5
"00-0039921","T.Benson","ARI","GB",TRUE,19.3333333333333,19.3333333333333,19.72,0,FALSE,NA,"#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png",NA,NA,NA
"00-0034983","H.Renfrow","CAR","NYJ",FALSE,20.3333333333333,18,19.4,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sgrqk1a6fm34swazm2bx","#0085CA","#000000","https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png","13","WR",6
"00-0036626","D.Brown","JAX","LA",TRUE,11.6666666666667,28.8,18.89,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wwl9s886olkkvu67qktp","#006778","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","5","WR",5
"00-0036223","J.Taylor","IND","LAC",FALSE,18,19.4,18.56,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk","#002C5F","#a5acaf","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","28","RB",6
"00-0037004","H.Long","JAX","LA",TRUE,18,18,18.36,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n1kvmijdfpyv1dwlwqa6","#006778","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","84","TE",5
