"season","week","defense_team","def_total_plays","def_avg_yards_per_play","def_avg_epa_per_play","def_success_rate_allowed","def_sacks","def_stuff_rate","def_turnovers_forced","def_turnover_rate","def_explosive_rate_allowed","def_third_down_stops","def_third_down_rate","def_red_zone_tds_allowed","def_red_zone_stops","def_red_zone_td_rate","def_roll3_epa","def_roll3_success_rate","def_roll3_third_down"
2025,5,"DEN",54,5.61111111111111,0.00316122240578864,0.388888888888889,6,0.444444444444444,0,0,0.0925925925925926,9,0.818181818181818,1,3,0.25,-0.10961179284481,0.379478936440962,0.732954545454546
2025,6,"DEN",57,1.43859649122807,-0.420661467797319,0.245614035087719,9,0.421052631578947,0,0,0,13,0.866666666666667,0,2,0,-0.224621702994012,0.330548593706488,0.834343434343434
2025,1,"DET",44,5.97727272727273,0.200990506103204,0.431818181818182,0,0.25,0,0,0.113636363636364,6,0.6,3,10,0.230769230769231,NA,NA,NA
2025,2,"DET",64,5.296875,-0.16596288634355,0.359375,4,0.328125,2,0.03125,0.140625,6,0.461538461538462,2,5,0.285714285714286,NA,NA,NA
2025,3,"DET",54,5.83333333333333,0.0502068841765621,0.462962962962963,7,0.37037037037037,1,0.0185185185185185,0.12962962962963,5,0.454545454545455,2,9,0.181818181818182,0.028411501312072,0.418052048260382,0.505361305361305
2025,4,"DET",64,3.90625,-0.363042712929736,0.28125,3,0.453125,3,0.046875,0.0625,11,0.785714285714286,1,9,0.1,-0.159599571698908,0.367862654320988,0.567266067266067
2025,5,"DET",57,5.45614035087719,-0.149252425202492,0.403508771929825,2,0.368421052631579,3,0.0526315789473684,0.12280701754386,7,0.636363636363636,2,3,0.4,-0.154029417985222,0.382573911630929,0.625541125541126
2025,6,"DET",58,6.17241379310345,0.267526656533969,0.551724137931034,3,0.206896551724138,0,0,0.103448275862069,5,0.555555555555556,4,12,0.25,-0.0815894938660863,0.41216096995362,0.659211159211159
2025,1,"GB",63,3.85714285714286,-0.0935414594058376,0.412698412698413,4,0.317460317460317,1,0.0158730158730159,0.0317460317460317,10,0.666666666666667,1,12,0.0769230769230769,NA,NA,NA
2025,2,"GB",64,3.59375,-0.181292835706652,0.359375,4,0.40625,0,0,0.015625,11,0.6875,2,3,0.4,NA,NA,NA
2025,3,"GB",56,3.94642857142857,-0.151620707016232,0.285714285714286,2,0.339285714285714,1,0.0178571428571429,0.0357142857142857,9,0.692307692307692,1,7,0.125,-0.142151667376241,0.352595899470899,0.68215811965812
2025,4,"GB",66,6.56060606060606,0.330915962117946,0.545454545454545,1,0.196969696969697,0,0,0.106060606060606,6,0.6,4,7,0.363636363636364,-0.000665860201646033,0.396847943722944,0.659935897435897
2025,6,"GB",61,4.42622950819672,0.0929051832784652,0.491803278688525,1,0.344262295081967,0,0,0.0163934426229508,8,0.571428571428571,2,8,0.2,0.0907334794600598,0.440990703285785,0.621245421245421
2025,1,"HOU",54,5.35185185185185,-0.0888853070479214,0.407407407407407,3,0.314814814814815,1,0.0185185185185185,0.0925925925925926,6,0.5,2,6,0.25,NA,NA,NA
2025,2,"HOU",73,4.93150684931507,0.134635762231108,0.520547945205479,4,0.315068493150685,0,0,0.10958904109589,8,0.571428571428571,3,8,0.272727272727273,NA,NA,NA
2025,3,"HOU",65,4.49230769230769,-0.163264141246134,0.369230769230769,2,0.4,1,0.0153846153846154,0.0615384615384615,11,0.733333333333333,2,4,0.333333333333333,-0.0391712286876491,0.432395373947885,0.601587301587302
2025,4,"HOU",45,3.88888888888889,-0.339841412962307,0.333333333333333,2,0.511111111111111,1,0.0222222222222222,0.133333333333333,9,0.818181818181818,0,0,NA,-0.122823263992444,0.407704015923194,0.707647907647908
2025,5,"HOU",40,5.175,-0.335742803858894,0.375,1,0.3,3,0.075,0.05,5,0.625,1,4,0.2,-0.279616119355778,0.359188034188034,0.72550505050505
2025,1,"IND",46,4.6304347826087,-0.20138605435552,0.434782608695652,3,0.369565217391304,2,0.0434782608695652,0.0652173913043478,4,0.444444444444444,1,4,0.2,NA,NA,NA
2025,2,"IND",53,5.67924528301887,0.174417486489375,0.452830188679245,0,0.283018867924528,1,0.0188679245283019,0.0943396226415094,5,0.555555555555556,3,6,0.333333333333333,NA,NA,NA
2025,3,"IND",65,4.33846153846154,-0.172455613127119,0.446153846153846,4,0.369230769230769,1,0.0153846153846154,0.0615384615384615,9,0.642857142857143,2,8,0.2,-0.0664747269977546,0.444588881176248,0.547619047619048
2025,4,"IND",66,7,0.0754038884995359,0.53030303030303,3,0.318181818181818,1,0.0151515151515152,0.121212121212121,8,0.666666666666667,2,2,0.5,0.0257885872872639,0.476429021712041,0.621693121693122
2025,5,"IND",63,4.52380952380952,-0.264383179322792,0.476190476190476,4,0.317460317460317,2,0.0317460317460317,0.0634920634920635,6,0.461538461538462,0,14,0,-0.120478301316792,0.484215784215784,0.59035409035409
2025,6,"IND",69,5.73913043478261,0.101198903208959,0.478260869565217,2,0.376811594202899,1,0.0144927536231884,0.130434782608696,5,0.357142857142857,3,15,0.166666666666667,-0.0292601292047656,0.494918125352908,0.495115995115995
2025,1,"JAX",60,4.26666666666667,-0.256379708421118,0.35,1,0.383333333333333,3,0.05,0.05,7,0.466666666666667,0,4,0,NA,NA,NA
2025,2,"JAX",65,5.38461538461539,-0.00716599251961108,0.430769230769231,3,0.369230769230769,3,0.0461538461538462,0.0769230769230769,8,0.571428571428571,3,9,0.25,NA,NA,NA
2025,3,"JAX",55,4.58181818181818,-0.256140440431268,0.309090909090909,2,0.327272727272727,3,0.0545454545454545,0.0363636363636364,11,0.785714285714286,0,3,0,-0.173228713790666,0.363286713286713,0.607936507936508
2025,4,"JAX",63,6.20634920634921,-0.0143651913654545,0.444444444444444,1,0.301587301587302,3,0.0476190476190476,0.126984126984127,5,0.384615384615385,1,10,0.0909090909090909,-0.0925572081054444,0.394768194768195,0.580586080586081
2025,5,"JAX",61,7.77049180327869,0.236831848863627,0.672131147540984,0,0.245901639344262,1,0.0163934426229508,0.147540983606557,4,0.444444444444444,5,8,0.384615384615385,-0.0112245943110317,0.475222167025446,0.538258038258038
2025,6,"JAX",50,6.6,0.0325823573461297,0.38,1,0.42,0,0,0.1,10,0.909090909090909,1,9,0.1,0.085016338281434,0.498858530661809,0.579383579383579
2025,1,"KC",56,6.01785714285714,0.222616034973164,0.553571428571429,3,0.303571428571429,0,0,0.0714285714285714,5,0.454545454545455,1,6,0.142857142857143,NA,NA,NA
2025,2,"KC",54,3.90740740740741,-0.034963712951887,0.407407407407407,2,0.314814814814815,0,0,0.0740740740740741,9,0.642857142857143,2,4,0.333333333333333,NA,NA,NA
2025,3,"KC",59,4.76271186440678,-0.2161945638672,0.389830508474576,2,0.322033898305085,2,0.0338983050847458,0.11864406779661,9,0.9,1,6,0.142857142857143,-0.00951408061530786,0.450269781484471,0.665800865800866
2025,4,"KC",51,6.72549019607843,-0.0770783491497365,0.450980392156863,3,0.313725490196078,2,0.0392156862745098,0.137254901960784,7,0.7,1,5,0.166666666666667,-0.109412208656275,0.416072769346282,0.747619047619048
2025,5,"KC",52,6.03846153846154,0.0416369823101597,0.480769230769231,3,0.269230769230769,2,0.0384615384615385,0.134615384615385,4,0.444444444444444,3,11,0.214285714285714,-0.0838786435689257,0.44052671046689,0.681481481481481
