"player_id","player_name","team","opponent","is_home","recent_avg","season_avg","opp_yards_allowed","projected_rush_yards","weather_impact_score","is_dome","headshot","team_color","team_color2","team_logo","jersey","position","experience"
"00-0035261","T.Pollard","TEN","NE",TRUE,55,60.3333333333333,84,49.43,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dvpdczetkdhrqpm8izmd","#002244","#4B92DB","https://a.espncdn.com/i/teamlogos/nfl/500/ten.png","20","RB",7
"00-0036945","J.Fields","NYJ","CAR",TRUE,46.3333333333333,47.2,95.6666666666667,46,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fbteankooq2c33yquq2j","#003F2D","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","7","QB",5
"00-0038597","C.Brown","CIN","PIT",TRUE,36.3333333333333,33.6666666666667,110.6,40.18,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv3sq3uzosixxexbznq5","#FB4F14","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","30","RB",3
"00-0039918","C.Williams","CHI","NO",TRUE,33,33,115.833333333333,39.37,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt","#0B162A","#E64100","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","18","QB",2
"00-0034791","N.Chubb","HOU","SEA",FALSE,48.6666666666667,49.8,79.6666666666667,39.13,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h5y74trx6l8ivpkbmrkt","#03202F","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","21","RB",8
"00-0037256","R.White","TB","DET",FALSE,41,40,96.3333333333333,39.11,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sxugbms8ketvgmilnlu3","#A71930","#322F2B","https://a.espncdn.com/i/teamlogos/nfl/500/tb.png","1","RB",4
"00-0037197","I.Pacheco","KC","LV",TRUE,40.6666666666667,35.6666666666667,95.8333333333333,38.17,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tqshteijt4xhgk2ei9sx","#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","10","RB",4
"00-0040734","T.Henderson","NE","TEN",FALSE,27.6666666666667,27.6,136,37.59,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cfcux3dnfmbmz3qzrnco","#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","32","RB",0
"00-0039921","T.Benson","ARI","GB",TRUE,48.6666666666667,48.6666666666667,73.2,36.69,0,FALSE,NA,"#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png",NA,NA,NA
"00-0036328","A.Gibson","NE","TEN",FALSE,25.3333333333333,25.75,136,34.68,0,FALSE,NA,"#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png",NA,NA,NA
"00-0036875","R.Stevenson","NE","TEN",FALSE,23.3333333333333,27.8,136,34.16,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ed09migntlyy8ntgvcu1","#002244","#C60C30","https://a.espncdn.com/i/teamlogos/nfl/500/ne.png","38","RB",5
"00-0033923","K.Hunt","KC","LV",TRUE,35.3333333333333,31.1666666666667,95.8333333333333,33.23,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hktvzf8hiupoycyg1kmc","#E31837","#FFB612","https://a.espncdn.com/i/teamlogos/nfl/500/kc.png","29","RB",9
"00-0037267","J.Ford","CLE","MIA",TRUE,19,19,169.5,33.17,0,FALSE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/djggmwo5v8osoboiseo2","#FF3C00","#311D00","https://a.espncdn.com/i/teamlogos/nfl/500/cle.png","34","RB",4
"00-0040583","W.Marks","HOU","SEA",FALSE,40,40,79.6666666666667,31.87,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwvxisrnjitkkghkfcn3","#03202F","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","27","RB",0
"00-0039738","B.Corum","LA","JAX",FALSE,32.3333333333333,35.25,92.5,30.99,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gytdgnrjj3jk8rlfxz85","#003594","#FFD100","https://a.espncdn.com/i/teamlogos/nfl/500/lar.png","22","RB",2
"00-0039165","Z.Charbonnet","SEA","HOU",TRUE,33,31.2,91.2,30.32,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jqbzg5e8pdltbnb7hc8p","#002244","#69be28","https://a.espncdn.com/i/teamlogos/nfl/500/sea.png","26","RB",3
"00-0035228","K.Murray","ARI","GB",TRUE,37.3333333333333,37.5,73.2,28.2,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/flezsremqighwuiyu77f","#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png","1","QB",7
"00-0040236","K.Monangai","CHI","NO",TRUE,21,21,115.833333333333,25.05,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cici2wf1walmoluhe95i","#0B162A","#E64100","https://a.espncdn.com/i/teamlogos/nfl/500/chi.png","25","RB",0
"00-0033553","J.Conner","ARI","GB",TRUE,31.6666666666667,31.6666666666667,73.2,23.88,0,FALSE,NA,"#97233F","#000000","https://a.espncdn.com/i/teamlogos/nfl/500/ari.png",NA,NA,NA
"00-0037746","B.Robinson","SF","ATL",TRUE,17.6666666666667,21.5,114.4,22.62,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n1xhex1ytisxcbcggqu7","#AA0000","#B3995D","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png",NA,"RB",2
"00-0039384","T.Tracy","NYG","DEN",FALSE,22.6666666666667,22.6666666666667,89.3333333333333,20.25,0,FALSE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9nje50lohbprf06xoom","#0B2265","#A71930","https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png","29","RB",2
